===== ESP32 BENCHMARK RESULTS =====
WiFi RSSI: 0 dBm
  Iteration 858: 144 ms
  Iteration 859: 144 ms
  Iteration 860: 144 ms
  Iteration 861: 143 ms
  Iteration 862: 143 ms
  Iteration 863: 143 ms
  Iteration 864: 143 ms
  Iteration 865: 144 ms
  Iteration 866: 143 ms
  Iteration 867: 144 ms
  Iteration 868: 143 ms
  Iteration 869: 143 ms
  Iteration 870: 143 ms
  Iteration 871: 143 ms
  Iteration 872: 144 ms
  Iteration 873: 144 ms
  Iteration 874: 144 ms
  Iteration 875: 143 ms
  Iteration 876: 143 ms
  Iteration 877: 144 ms
  Iteration 878: 143 ms
  Iteration 879: 144 ms
  Iteration 880: 144 ms
  Iteration 881: 144 ms
  Iteration 882: 144 ms
  Iteration 883: 144 ms
  Iteration 884: 144 ms
  Iteration 885: 144 ms
  Iteration 886: 144 ms
  Iteration 887: 143 ms
  Iteration 888: 144 ms
  Iteration 889: 144 ms
  Iteration 890: 143 ms
  Iteration 891: 144 ms
  Iteration 892: 143 ms
  Iteration 893: 144 ms
  Iteration 894: 143 ms
  Iteration 895: 144 ms
  Iteration 896: 144 ms
  Iteration 897: 143 ms
  Iteration 898: 143 ms
  Iteration 899: 143 ms
  Iteration 900: 144 ms
  Iteration 901: 143 ms
  Iteration 902: 143 ms
  Iteration 903: 144 ms
  Iteration 904: 143 ms
  Iteration 905: 143 ms
  Iteration 906: 143 ms
  Iteration 907: 144 ms
  Iteration 908: 144 ms
  Iteration 909: 144 ms
  Iteration 910: 144 ms
  Iteration 911: 144 ms
  Iteration 912: 143 ms
  Iteration 913: 144 ms
  Iteration 914: 143 ms
  Iteration 915: 143 ms
  Iteration 916: 144 ms
  Iteration 917: 144 ms
  Iteration 918: 144 ms
  Iteration 919: 144 ms
  Iteration 920: 144 ms
  Iteration 921: 144 ms
  Iteration 922: 144 ms
  Iteration 923: 144 ms
  Iteration 924: 144 ms
  Iteration 925: 144 ms
  Iteration 926: 144 ms
  Iteration 927: 144 ms
  Iteration 928: 143 ms
  Iteration 929: 143 ms
  Iteration 930: 144 ms
  Iteration 931: 143 ms
  Iteration 932: 144 ms
  Iteration 933: 144 ms
  Iteration 934: 143 ms
  Iteration 935: 143 ms
  Iteration 936: 143 ms
  Iteration 937: 144 ms
  Iteration 938: 143 ms
  Iteration 939: 144 ms
  Iteration 940: 144 ms
